Word,Count,Percentage of total,Cumulative percentage of total
Ἑρμοπολίτης,175,0.02,78.07
πῆχυς,174,0.02,78.09
μισθός,174,0.02,78.11
Μέλας,174,0.02,78.12
ξέστης,174,0.02,78.14
γυμνασιαρχέω,173,0.02,78.16
ἀγράμματος,173,0.02,78.18
κατοικικός,173,0.02,78.19
οὔτε,173,0.02,78.21
ἄνευ,172,0.02,78.23
ἔπαρχος,171,0.02,78.25
ἑξῆς,171,0.02,78.26
ὁρίζω,171,0.02,78.28
Πεκυσις,170,0.02,78.3
βαλανεῖον,170,0.02,78.31
γεωργέω,170,0.02,78.33
ἀνυπέρθετος,170,0.02,78.35
μή´,170,0.02,78.36
ἄρτος,170,0.02,78.38
Αὐρηλία,170,0.02,78.4
φλαϝιυς,170,0.02,78.42
Θηβαίς,170,0.02,78.43
Πετεχεσποχράτης,170,0.02,78.45
Ἑριευς,169,0.02,78.47
φακός,168,0.02,78.48
͵ξ,168,0.02,78.5
Ὀξυρυγχίτης,168,0.02,78.52
Ἁρπαησις,168,0.02,78.53
ὑποτάσσω,167,0.02,78.55
διαγραφή,167,0.02,78.57
μακροπρόσωπος,166,0.02,78.58
μετρητής,166,0.02,78.6
ὀψώνιον,166,0.02,78.62
σήμερον,165,0.02,78.63
ἄβροχος,165,0.02,78.65
ἐμαυτοῦ,164,0.02,78.67
καταχωρίζω,164,0.02,78.68
πάλιν,164,0.02,78.7
ἅμα,164,0.02,78.72
Σαταβους,163,0.02,78.73
Τεσενουφις,163,0.02,78.75
ἀμπελών,163,0.02,78.76
κτῆμα,163,0.02,78.78
Μεμνόνεια,163,0.02,78.8
μέλλω,161,0.02,78.81
μυριάς,161,0.02,78.83
δισχίλιοι,161,0.02,78.85
ἄγω,160,0.02,78.86
συνάγω,160,0.02,78.88
τίμιος,160,0.02,78.89
Πέτρος,160,0.02,78.91
κουράτωρ,160,0.02,78.93
εἰκάς,159,0.02,78.94
Θεός,159,0.02,78.96
διάφορος,159,0.02,78.97
κανήφορος,159,0.02,78.99
μοναστήριος,159,0.02,79.01
σῶμα,158,0.02,79.02
λη#,158,0.02,79.04
ἀπόδοσις,158,0.02,79.05
κυρία,158,0.02,79.07
Ὀξύρυγχος,158,0.02,79.08
ἄκυρος,158,0.02,79.1
Σύρος,157,0.02,79.12
μάλα,157,0.02,79.13
Φιλομήτωρ,157,0.02,79.15
Ψενμωνθης,157,0.02,79.16
πωλέω,156,0.02,79.18
μισθωτής,156,0.02,79.19
Χοιάκ,156,0.02,79.21
ἀδικέω,156,0.02,79.22
καθότι,155,0.02,79.24
Διόδωρος,155,0.02,79.26
Μακεδών,155,0.02,79.27
Ἀπολλῶς,155,0.02,79.29
ἀμελέω,154,0.02,79.3
προλέγω,154,0.02,79.32
ὀγδοήκοντα,153,0.02,79.33
οὐσία,153,0.02,79.35
ὠνή,153,0.02,79.36
Ἀχιλλεύς,153,0.02,79.38
Κωνστάντιος,153,0.02,79.39
Τρύφων,152,0.02,79.41
χῶμα,152,0.02,79.42
φροντίζω,152,0.02,79.44
πίστις,152,0.02,79.46
Ἰμουθης,152,0.02,79.47
Σαραπάμμων,151,0.02,79.49
φοινικών,151,0.02,79.5
χαλκοῦς,150,0.01,79.52
Νικάνωρ,150,0.01,79.53
ἐμβάλλω,150,0.01,79.55
Αὐρηλια,149,0.01,79.56
Κολλοῦθος,149,0.01,79.58
ἐπιστάτης,149,0.01,79.59
ψιλός,148,0.01,79.61
Ἑρμουπολίτης,147,0.01,79.62
καμηλίτης,147,0.01,79.63
Ἀμενωθης,147,0.01,79.65
Γαῗος,146,0.01,79.66
Μάξιμος,146,0.01,79.68
ὑπογραφή,145,0.01,79.69
ἐντός,145,0.01,79.71
διῶρυξ,145,0.01,79.72
εὐθύς,145,0.01,79.74
Ἑρμούπολις,145,0.01,79.75
Πικεύς,145,0.01,79.77
Ἀπολλως,145,0.01,79.78
Ἀρσινόειτος,144,0.01,79.79
ἐπιτελέω,144,0.01,79.81
σπόρος,144,0.01,79.82
διοικητής,144,0.01,79.84
Πετεσουχος,142,0.01,79.85
διάκειμαι,142,0.01,79.87
Α,142,0.01,79.88
Δεῖος,141,0.01,79.89
ἐπικαλέω,141,0.01,79.91
ἑκατοστός,141,0.01,79.92
Πρώταρχος,141,0.01,79.94
παῖς,141,0.01,79.95
Διοφάνης,141,0.01,79.96
Ἁτρῆς,140,0.01,79.98
ἐξουσία,140,0.01,79.99
μέτωπον,140,0.01,80.01
ἀεί,140,0.01,80.02
διπλόος,140,0.01,80.03
ἐργάζομαι,140,0.01,80.05
τελέω,140,0.01,80.06
χειρόγραφον,140,0.01,80.08
ἑνδέκατος,140,0.01,80.09
κωμήτης,140,0.01,80.1
Κοπρῆς,139,0.01,80.12
ἐκτίνω,139,0.01,80.13
ἑβδομήκοντα,138,0.01,80.15
Σωκράτης,138,0.01,80.16
Πασίων,138,0.01,80.17
αὐθαίρετος,138,0.01,80.19
Ἰσιδώρα,137,0.01,80.2
Ἡράκλεια,137,0.01,80.22
ἐρωτάω,137,0.01,80.23
ὑπηρέτης,137,0.01,80.24
ἑκκαιδέκατος,136,0.01,80.26
ὑποθήκη,136,0.01,80.27
ἐνοίκιος,136,0.01,80.28
ζητέω,136,0.01,80.3
δαπάνημα,136,0.01,80.31
λδ,136,0.01,80.32
κρίνω,136,0.01,80.34
ἀληθής,136,0.01,80.35
Παθυρις,136,0.01,80.36
εὐδοκέω,135,0.01,80.38
ἀναγιγνώσκω,134,0.01,80.39
