Word,Count,Percentage of total,Cumulative percentage of total
ἀπελεύθερος,24,0.02,86.54
εὐτελής,24,0.02,86.55
τρίστεγος,24,0.02,86.57
δυοτριακοστός,24,0.02,86.59
παρακλητικός,24,0.02,86.6
Διονύσιος,24,0.02,86.62
ἀρραγής,24,0.02,86.64
ἐπίποκος,24,0.02,86.66
εὐκτήριος,24,0.02,86.67
ἀναβολικός,24,0.02,86.69
εἰκοσιάρουρος,24,0.02,86.71
Κίλιξ,23,0.02,86.72
ἐνεργός,23,0.02,86.74
ἀδελφός,23,0.02,86.76
σκευοφόρος,23,0.02,86.77
δικαστικός,23,0.02,86.79
ῥητός,23,0.02,86.8
σωματικός,23,0.02,86.82
ἀδύνατος,23,0.02,86.84
ἄγροικος,23,0.02,86.85
προβατοκτηνοτρόφος,23,0.02,86.87
ἀνδρεῖος,23,0.02,86.89
μονόχωρος,23,0.02,86.9
κηρυκικός,23,0.02,86.92
ἑός,23,0.02,86.93
Θηβαικός,22,0.02,86.95
σύμβροχος,22,0.02,86.96
ἀναπόγραφος,22,0.02,86.98
τεσσαρασκαιδέκατος,22,0.02,87.0
ἐφόδιος,22,0.02,87.01
λαικός,22,0.02,87.03
ὅριος,22,0.02,87.04
εὔσημος,22,0.02,87.06
ἄγριος,22,0.02,87.07
τρίμηνος,22,0.02,87.09
ἐλαιουργικός,22,0.02,87.1
δομεστικός,22,0.02,87.12
ὑπερόριος,22,0.02,87.14
γενικός,22,0.02,87.15
ἰδικός,22,0.02,87.17
ἀνώτερος,22,0.02,87.18
ἀέκων,22,0.02,87.2
εὐκταῖος,22,0.02,87.21
δεινός,21,0.01,87.23
Γερμανικιανός,21,0.01,87.24
ἀνενόχλητος,21,0.01,87.26
ἐνδεής,21,0.01,87.27
ἀσυκοφάντητος,21,0.01,87.29
ὑψηλός,21,0.01,87.3
Ὀκτώβριος,21,0.01,87.32
ἀχάρακτος,21,0.01,87.33
κλαστός,21,0.01,87.35
μητρώιος,21,0.01,87.36
ξεστός,21,0.01,87.38
δεκαετής,21,0.01,87.39
ἔννατος,21,0.01,87.41
ἐχθρός,21,0.01,87.42
παράδοξος,21,0.01,87.44
ἀήσσητος,21,0.01,87.45
ἀλλοδαπός,21,0.01,87.47
ἀπαραίτητος,21,0.01,87.48
ἑορτικός,21,0.01,87.49
λειτουργικός,21,0.01,87.51
τρίδραχμος,21,0.01,87.52
Ἑρμαῖος,21,0.01,87.54
ἐντελής,20,0.01,87.55
Βρεττανικός,20,0.01,87.57
κασσιτέρινος,20,0.01,87.58
Λύκιος,20,0.01,87.6
στρατηγικός,20,0.01,87.61
ἀβοήθητος,20,0.01,87.62
σύμμικτος,20,0.01,87.64
ἐνώπιος,20,0.01,87.65
Ἁδριανός,20,0.01,87.67
ὁλκός,20,0.01,87.68
πορφύρεος,20,0.01,87.69
παραπλήσιος,20,0.01,87.71
ἐπέτειος,20,0.01,87.72
ἀπόθετος,20,0.01,87.74
ἀνεπηρέαστος,20,0.01,87.75
Εὐημέρειος,20,0.01,87.77
αἴσιος,20,0.01,87.78
περυσινός,20,0.01,87.79
ὑπέρλαμπρος,20,0.01,87.81
κληρικός,20,0.01,87.82
βορρινός,20,0.01,87.84
Μωθιτός,20,0.01,87.85
καμηλικός,20,0.01,87.86
ἀνθομόλογος,20,0.01,87.88
ἀπερίλυτος,19,0.01,87.89
ἀναπόριφος,19,0.01,87.91
ἀπαράβατος,19,0.01,87.92
Μαικηνατιανός,19,0.01,87.93
Φυλακιτικός,19,0.01,87.95
ἑξαμάρτυρος,19,0.01,87.96
ἑξάθυρος,19,0.01,87.97
Μάιος,19,0.01,87.99
ἔμφυτος,19,0.01,88.0
ἄναρχος,19,0.01,88.01
χωλός,19,0.01,88.03
ἀκέραιος,19,0.01,88.04
κακοφυής,19,0.01,88.05
ἀβροχικός,19,0.01,88.07
ἐντόπιος,19,0.01,88.08
διδασκαλικός,19,0.01,88.09
τετράχοος,19,0.01,88.11
ἔνσιμος,19,0.01,88.12
φαῦλος,19,0.01,88.13
ἀκατηγόρητος,18,0.01,88.15
Καμηλιανός,18,0.01,88.16
συνεχής,18,0.01,88.17
ἐννακόσιος,18,0.01,88.18
ὄργανος,18,0.01,88.2
ἀνεξαλλοτρίωτος,18,0.01,88.21
ξένιος,18,0.01,88.22
σαπρός,18,0.01,88.23
ἀκάνθινος,18,0.01,88.25
Καύνιος,18,0.01,88.26
τυφλός,18,0.01,88.27
ἀννωνιακός,18,0.01,88.29
εὔδηλος,18,0.01,88.3
φρικώδης,18,0.01,88.31
προικιμαῖος,18,0.01,88.32
χειμωνικός,18,0.01,88.34
μετρητός,18,0.01,88.35
ἐπίγρυπος,18,0.01,88.36
εἰσελαστικός,18,0.01,88.37
πανευκλεής,18,0.01,88.39
μαμμικός,17,0.01,88.4
θερμός,17,0.01,88.41
προγονικός,17,0.01,88.42
ὑπόβλητος,17,0.01,88.44
Καρανίς,17,0.01,88.45
αὐτενίαυτος,17,0.01,88.46
τακτός,17,0.01,88.47
κληρονομικός,17,0.01,88.48
συνεργός,17,0.01,88.5
κατήγορος,17,0.01,88.51
