Word,Count,Percentage of total,Cumulative percentage of total
εὔορκος,9,0.03,80.53
ἐπικαίριος,9,0.03,80.57
παντοδαπής,9,0.03,80.6
εὔθετος,9,0.03,80.63
ἀσαφής,9,0.03,80.66
ὁμοεθνής,9,0.03,80.69
δαψιλής,9,0.03,80.72
ἀθέμιστος,9,0.03,80.75
ὀχυρός,9,0.03,80.78
εὐειδής,9,0.03,80.81
ἀμαθής,9,0.03,80.84
ἄπληστος,9,0.03,80.87
ἀνώτερος,9,0.03,80.9
πατρικός,9,0.03,80.93
ἐφάμιλλος,9,0.03,80.96
ἐπίβουλος,9,0.03,80.99
λαιός,9,0.03,81.02
αὔτανδρος,9,0.03,81.05
ἄνισος,9,0.03,81.08
μάταιος,9,0.03,81.11
γλυκύς,9,0.03,81.14
πραγματικός,9,0.03,81.17
ἀριστοκρατικός,9,0.03,81.2
δημοκρατικός,9,0.03,81.23
ἑωθινός,8,0.03,81.26
κατάδηλος,8,0.03,81.29
τυφλός,8,0.03,81.31
ἑπτακαίδεκα,8,0.03,81.34
χωλός,8,0.03,81.37
εὔρωστος,8,0.03,81.4
ὑπερόριος,8,0.03,81.42
προσεχής,8,0.03,81.45
κάκουργος,8,0.03,81.48
ἐπίπονος,8,0.03,81.5
ἄρρητος,8,0.03,81.53
σύνεδρος,8,0.03,81.56
αἴσιος,8,0.03,81.58
ἀξιοθέατος,8,0.03,81.61
τραχύς,8,0.03,81.64
ἐπανάγκης,8,0.03,81.66
ἐμπόδιος,8,0.03,81.69
ἀφυής,8,0.03,81.72
ἀθῷος,8,0.03,81.75
φιλόπονος,8,0.03,81.77
ἔμφυτος,8,0.03,81.8
τολμηρός,8,0.03,81.83
δύσβατος,8,0.03,81.85
ἀνιαρός,8,0.03,81.88
οἰκτρός,8,0.03,81.91
ἐντελής,8,0.03,81.93
ἀλλοῖος,8,0.03,81.96
ἀστεῖος,8,0.03,81.99
καταπληκτικός,8,0.03,82.02
ἀόριστος,8,0.03,82.04
νομιστέος,8,0.03,82.07
ῥητέος,8,0.03,82.1
προφανής,8,0.03,82.12
ἡγεμονικός,8,0.03,82.15
τακτικός,8,0.03,82.18
πλείωνίων,7,0.02,82.2
προπετής,7,0.02,82.22
ἀναιδής,7,0.02,82.25
κωφός,7,0.02,82.27
εὔτακτος,7,0.02,82.3
ἔκπλεος,7,0.02,82.32
ῥητός,7,0.02,82.34
κάλως,7,0.02,82.37
ῥᾴθυμος,7,0.02,82.39
βόρειος,7,0.02,82.41
